id,date,year,month,day,lat,lon,lat_lon_pair_list,weighting_list
1,2025/3/10,2025,3,10,21.98899,96.11989,"[[21.9, 96.1], [21.9, 96.2], [22.0, 96.1], [22.0, 96.2]]",[0.14492328 0.11036676 0.58128634 0.16342361]
2,2025/3/8,2025,3,8,20.46345,85.88421,"[[20.4, 85.8], [20.4, 85.9], [20.5, 85.8], [20.5, 85.9]]",[0.15602214 0.25159666 0.17920169 0.41317951]
8,2024/3/9,2024,3,9,17.6599,75.90639,"[[17.6, 75.9], [17.6, 76.0], [17.7, 75.9], [17.7, 76.0]]",[0.2764646 0.1498564 0.4101418 0.1635372]
9,2023/4/28,2023,4,28,28.68753,77.21898,"[[28.6, 77.2], [28.6, 77.3], [28.7, 77.2], [28.7, 77.3]]",[0.14733292 0.11063605 0.58105624 0.16097478]
10,2022/3/27,2022,3,27,11.02676,76.90577,"[[11.0, 76.9], [11.0, 77.0], [11.1, 76.9], [11.1, 77.0]]",[0.53150375 0.1485351  0.19804711 0.12191404]
13,2022/4/12,2022,4,12,13.01044,80.21739,"[[13.0, 80.2], [13.0, 80.3], [13.1, 80.2], [13.1, 80.3]]",[0.61260033 0.14922414 0.13619522 0.10198031]
15,2024/5/6,2024,5,6,-19.38382,169.29451,"[[-19.3, 169.2], [-19.3, 169.3], [-19.4, 169.2], [-19.4, 169.3]]",[0.08916802 0.13409737 0.11747536 0.65925925]
16,2024/4/5,2024,4,5,11.09976,76.74818,"[[11.0, 76.7], [11.0, 76.8], [11.1, 76.7], [11.1, 76.8]]",[0.15569702 0.15343833 0.35800577 0.33285888]
19,2024/4/29,2024,4,29,26.88024,75.80598,"[[26.8, 75.8], [26.8, 75.9], [26.9, 75.8], [26.9, 75.9]]",[0.15659512 0.10193786 0.61031774 0.13114928]
20,2024/4/26,2024,4,26,12.7321,77.79036,"[[12.7, 77.7], [12.7, 77.8], [12.8, 77.7], [12.8, 77.8]]",[0.16372775 0.46843642 0.13890567 0.22893016]
21,2024/4/22,2024,4,22,31.56971,74.31663,"[[31.5, 74.3], [31.5, 74.4], [31.6, 74.3], [31.6, 74.4]]",[0.2201972  0.14521127 0.45668465 0.17790687]
22,2024/3/30,2024,3,30,16.23238,119.79116,"[[16.2, 119.7], [16.2, 119.8], [16.3, 119.7], [16.3, 119.8]]",[0.16252084 0.46841191 0.1385201  0.23054715]
23,2024/4/4,2024,4,4,12.87585,79.29303,"[[12.8, 79.2], [12.8, 79.3], [12.9, 79.2], [12.9, 79.3]]",[0.1162777  0.18323728 0.14521483 0.55527019]
24,2024/3/24,2024,3,24,9.84113,77.93573,"[[9.8, 77.9], [9.8, 78.0], [9.9, 77.9], [9.9, 78.0]]",[0.31946113 0.22809984 0.25274215 0.19969689]
25,2024/3/22,2024,3,22,19.13243,72.91602,"[[19.1, 72.9], [19.1, 73.0], [19.2, 72.9], [19.2, 73.0]]",[0.4428226  0.17792296 0.23065444 0.14860001]
27,2022/3/15,2022,3,15,20.71651,77.00378,"[[20.7, 77.0], [20.7, 77.1], [20.8, 77.0], [20.8, 77.1]]",[0.66264645 0.11496273 0.13429016 0.08810066]
30,2022/4/14,2022,4,14,22.42418,87.26571,"[[22.4, 87.2], [22.4, 87.3], [22.5, 87.2], [22.5, 87.3]]",[0.23764037 0.39656362 0.16583998 0.19995603]
31,2023/5/9,2023,5,9,2.91245,101.68319,"[[2.9, 101.6], [2.9, 101.7], [3.0, 101.6], [3.0, 101.7]]",[0.15012268 0.60366953 0.10455997 0.14164781]
33,2023/4/29,2023,4,29,10.95254,79.26324,"[[10.9, 79.2], [10.9, 79.3], [11.0, 79.2], [11.0, 79.3]]",[0.21314663 0.27329423 0.22163737 0.29192177]
34,2023/3/28,2023,3,28,14.65029,121.07076,"[[14.6, 121.0], [14.6, 121.1], [14.7, 121.0], [14.7, 121.1]]",[0.19994383 0.29837408 0.20071772 0.30096437]
40,2018/4/15,2018,4,15,22.56289,114.08087,"[[22.5, 114.0], [22.5, 114.1], [22.6, 114.0], [22.6, 114.1]]",[0.16224355 0.2528502  0.18680032 0.39810593]
43,2022/3/17,2022,3,17,10.86641,76.64687,"[[10.8, 76.6], [10.8, 76.7], [10.9, 76.6], [10.9, 76.7]]",[0.21466063 0.20516136 0.30259098 0.27758703]
44,2022/4/16,2022,4,16,11.05725,76.84912,"[[11.0, 76.8], [11.0, 76.9], [11.1, 76.8], [11.1, 76.9]]",[0.23373103 0.23019816 0.27076042 0.26531039]
